0x01	Têp
0x245	Lỗi khi truy xuất dữ liệu:
0x246	Lỗi kết nối Cơ Sở Dữ Liệu:
0x247	Lỗi khi nhân bản kho lưu trữ:
0x248	Bạn có thể cần xóa thư mục "data\DataSupport" và thử lại.

0x251	Đường dẫn tệp không hợp lệ.
0x252	Định dạng tệp không hợp lệ.
0x253	Xử lý tập tin không hợp lệ.
0x254	Thao tác tập tin không hợp lệ.
0x255	Đường dẫn thư mục không hợp lệ.

0x25a	Đường dẫn dữ liệu không hợp lệ.
0x25b	Định dạng dữ liệu không hợp lệ.
0x25c	Lựa chọn dữ liệu không hợp lệ.

0x261	Định danh Thẻ không hợp lệ.
0x262	Bí danh Thẻ không hợp lệ.
0x263	Quyền truy cập không hợp lệ.
0x264	Mã hóa không hợp lệ.
0x265	Cài đặt không hợp lệ. Hãy lựa chọn cài đặt trước khi lưu.
2x266	Cỡ chữ không hợp lệ. Cỡ chữ phải là số hợp lệ nằm trong khoảng từ 1 đến 50.
2x267	Item tối đa không hợp lệ. Item tối đa phải là số hợp lệ nằm trong khoảng từ 1 đến 100.
0x268	Kích thước ảnh không hợp lệ. Hãy nhập theo định dạng a,b trong đó a và b là số.
0x269	Kích thước tem độ hiếm không hợp lệ. Hãy nhập theo định dạng a,b trong đó a và b là số.
0x26a	Căn lề tem độ hiếm không hợp lệ. Hãy nhập theo định dạng a,b trong đó a và b là số.
0x26b	DPI của hình ảnh không hợp lệ. DPI phải là số hợp lệ nằm trong khoảng từ 1 đến 100.
0x26c	ngoài phạm vi cho phép.
0x26d	Không được bỏ trống.

0x275	Mã màu nền không hợp lệ.
0x276	Mã màu chữ không hợp lệ.

0x281	Không tìm thấy Thẻ nào.
0x282	Không có Thẻ nào được chọn.
0x283	Không có Thẻ để sao chép.
0x284	Không có Thẻ để trích xuất.
0x285	Không có Thẻ để lọc.
0x286	Không có Thẻ để lưu.
0x287	Không có Thẻ để thay thế.

0x288	Không tìm thấy tệp nào.
0x289	Không có cửa sổ nào được chọn.
0x28a	Không có Cơ Sở Dữ Liệu Thẻ nào được chọn.
0x28b	Không tìm thấy Thẻ hợp lệ.
0x28c	Không tìm thấy dữ liệu hợp lệ.
0x28d	Không có dữ liệu hợp lệ trong bảng nhớ tạm.
0x28e	Không dành cho người dùng thông thường.
0x28f	Không tìm thấy mã định danh Konami.
0x290	Không thể tìm kiếm Thẻ này trên Yugipedia.

0x295	Thư mục không tồn tại.
0x296	Tập tin không tồn tại.
0x297	Tập tin đã tồn tại.
0x298	Thẻ không tồn tại trong Cơ Sở Dữ Liệu.
0x299	ID Thẻ đã tồn tại.
0x29a	ID Thẻ không tồn tại.
0x29b	ID Thẻ không tồn tại trong danh sách.
0x29c	Không phải là tập tin hình ảnh.
0x29d	Giá trị Chiều rộng hoặc Chiều cao không phải là số hợp lệ.
0x29e	Tệp Lua
0x29f	Mô tả cho ID này.
0x2a0	cho ID
0x2a1	không tìm thấy
0x2a2	trống

0x2aa	Cơ Sở Dữ Liệu đã được tạo thành công, bạn có muốn mở nó không?
0x2ab	File đã được tạo thành công, bạn có muốn mở nó không?
0x2ac	Thêm Thẻ mới thành công!
0x2ad	Cập nhật Thẻ thành công!
0x2ae	Xóa thẻ thành công!
0x2af	Sao chép thẻ thành công!
0x2b0	Dán thẻ thành công!
0x2b1	Thay thế thẻ thành công!
0x2b2	Lưu thẻ thành công!
0x2b3	Lưu tập lệnh thành công!
0x2b4	Dữ liệu đã được xuất thành công!
0x2b5	Dữ liệu đã được nhập thành công!
0x2b6	Tệp Zip đã được xuất thành công tại:
0x2b7	Tệp Excel đã được xuất thành công tại:
0x2b8	Khóa đăng ký đã được tạo thành công tại:
0x2b9	Nhấp đúp vào tệp này để thiết lập Khóa đăng ký.

0x2c1	Trích xuất dữ liệu hàm thành công!
0x2c2	Trích xuất dữ liệu hằng số thành công!
0x2c3	Kho lưu trữ đã được sao chép thành công!
0x2c4	Dữ liệu đã được cập nhật thành công!
0x2c5	Cài đặt đã được đặt lại về mặc định.
0x2c6	Khởi động lại ứng dụng để áp dụng.
0x2c7	Lọc thành công. Đã tìm thấy
0x2c8	Thẻ trong tổng số
0x2c9	Thẻ.

0x2d4	Chọn thư mục
0x2d5	Lưu tập tin Cơ Sở Dữ Liệu
0x2d6	Lưu tập tin
0x2d7	Tất cả tệp
0x2d8	Tệp văn bản
0x2d9	Tệp Markdown
0x2da	Tệp log
0x2db	Tệp bộ bài
0x2dc	Tệp YAML
0x2dd	Tệp cấu hình
0x2de	Tệp ZIP
0x2df	Tệp Excel

0x2e5	Xác nhận đặt lại?
0x2e6	Xác nhận làm trống?
0x2e7	Xác nhận xóa?

0x2f1	Định danh Thẻ đã bị thay đổi.
0x2f2	Xóa Thẻ đã chọn hay Thẻ có định danh mới nhập?
0x2f3	Tạo Tập Lệnh Thẻ của Thẻ đã chọn hay Thẻ có định danh mới nhập?
0x2f4	Tạo hình ảnh của Thẻ đã chọn hay Thẻ có định danh mới nhập?
0x2f5	Thẻ đã chọn
0x2f6	ID mới nhập

0x301	Bạn có muốn xóa toàn bộ dữ liệu đã chọn trên giao diện không?
0x302	Bạn có chắc không? Những thẻ có ID 4 chữ số hoặc thấp hơn sẽ bị trò chơi bỏ qua.
0x303	Bạn có chắc chắn muốn làm trống tất cả dữ liệu đã chọn trên giao diện không?
0x304	Bạn có chắc chắn muốn Đặt lại thẻ đã chọn không? Những thay đổi sẽ không được lưu.
0x305	Bạn có chắc chắn muốn khôi phục cài đặt mặc định không? Mọi thay đổi sẽ bị mất.
0x306	Bạn có chắc chắn muốn XÓA VĨNH VIỄN thẻ đã chọn không?
0x307	Bạn có chắc chắn muốn lưu tệp trống?
0x308	Bạn có muốn ghi đè nó không?

0x315	Nguồn dữ liệu bị thiếu hoặc không hợp lệ, hãy tải xuống ngay?
0x316	Không tìm thấy bản cập nhật nào.
0x317	Cập nhật hoàn tất!
0x318	Đã có bản cập nhật, tải xuống ngay?

0x321	Không thể xóa tệp hiện có sau nhiều lần thử.
0x322	Không tìm thấy đường dẫn git.exe, hãy đảm bảo Git được cài đặt và sử dụng đường dẫn chính xác trong cấu hình ứng dụng.
0x323	Đường dẫn Git bị thiếu hoặc trống trong cấu hình. Sử dụng đường dẫn Git mặc định.
0x324	Tệp tô sáng cú pháp không tồn tại.
0x325	Sử dụng đường dẫn mặc định.
